year,primary_topic,topic_bucket,count
2005,Seismology and Earthquake Studies,Applied / Interdisciplinary AI,272
2005,Semantic Web and Ontologies,NLP,2341
2005,Sentiment Analysis and Opinion Mining,NLP,39
2005,Solar Radiation and Photovoltaics,Applied / Interdisciplinary AI,197
2005,Speech Recognition and Synthesis,NLP,1331
2005,Speech and dialogue systems,NLP,772
2005,Statistical and Computational Modeling,Applied / Interdisciplinary AI,135
2005,Stochastic Gradient Optimization Techniques,ML Theory & Optimization,26
2005,Target Tracking and Data Fusion in Sensor Networks,Robotics,1077
2005,Text Readability and Simplification,NLP,38
2005,Text and Document Classification Technologies,NLP,368
2005,Topic Modeling,NLP,339
2005,Wireless Signal Modulation Classification,Core ML / Deep Learning,69
2006,AI and Multimedia in Education,Applied / Interdisciplinary AI,1
2006,AI in Service Interactions,Applied / Interdisciplinary AI,37
2006,AI in cancer detection,Healthcare AI,490
2006,AI-based Problem Solving and Planning,Robotics,557
2006,Advanced Clustering Algorithms Research,Core ML / Deep Learning,510
2006,Advanced Computational Techniques and Applications,Applied / Interdisciplinary AI,905
2006,Advanced Graph Neural Networks,Core ML / Deep Learning,13
2006,Advanced Software Engineering Methodologies,Applied / Interdisciplinary AI,1669
2006,Advanced Technologies in Various Fields,Applied / Interdisciplinary AI,3
2006,Advanced Text Analysis Techniques,NLP,460
2006,Adversarial Robustness in Machine Learning,Core ML / Deep Learning,12
2006,Algorithms and Data Compression,ML Theory & Optimization,1291
2006,Anomaly Detection Techniques and Applications,Applied / Interdisciplinary AI,338
2006,Artificial Intelligence Applications,Applied / Interdisciplinary AI,40
2006,Artificial Intelligence in Games,Applied / Interdisciplinary AI,370
2006,Authorship Attribution and Profiling,Applied / Interdisciplinary AI,95
2006,Bayesian Methods and Mixture Models,ML Theory & Optimization,718
2006,Bayesian Modeling and Causal Inference,ML Theory & Optimization,719
2006,Coding theory and cryptography,ML Theory & Optimization,1083
2006,Cognitive Computing and Networks,Applied / Interdisciplinary AI,160
2006,Cognitive Science and Mapping,Applied / Interdisciplinary AI,367
2006,Computational Physics and Python Applications,Applied / Interdisciplinary AI,415
2006,Computer Science and Engineering,Applied / Interdisciplinary AI,51
2006,Cryptographic Implementations and Security,Applied / Interdisciplinary AI,593
2006,Cryptography and Data Security,Applied / Interdisciplinary AI,1128
2006,Data Analysis with R,Applied / Interdisciplinary AI,168
2006,Data Stream Mining Techniques,Applied / Interdisciplinary AI,156
2006,Diverse Interdisciplinary Research Studies,Applied / Interdisciplinary AI,21
2006,Domain Adaptation and Few-Shot Learning,Applied / Interdisciplinary AI,15
2006,Edcuational Technology Systems,Applied / Interdisciplinary AI,35
2006,Educational Robotics and Engineering,Robotics,1931
2006,Educational Technology and Pedagogy,Applied / Interdisciplinary AI,24
2006,Evolutionary Algorithms and Applications,ML Theory & Optimization,1202
2006,Experience-Based Knowledge Management,Applied / Interdisciplinary AI,8
2006,Explainable Artificial Intelligence (XAI),AI Ethics & Fairness,20
2006,Fuzzy Logic and Control Systems,Robotics,1211
2006,Gaussian Processes and Bayesian Inference,ML Theory & Optimization,113
2006,Geochemistry and Geologic Mapping,Applied / Interdisciplinary AI,1249
2006,Hate Speech and Cyberbullying Detection,NLP,82
2006,Imbalanced Data Classification Techniques,Core ML / Deep Learning,178
2006,Intelligent Tutoring Systems and Adaptive Learning,Applied / Interdisciplinary AI,430
2006,Internet Traffic Analysis and Secure E-voting,Applied / Interdisciplinary AI,463
2006,Intuitionistic Fuzzy Systems Applications,Applied / Interdisciplinary AI,35
2006,"Law, AI, and Intellectual Property",AI Ethics & Fairness,139
2006,Linguistic Studies and Language Acquisition,NLP,802
2006,"Logic, Reasoning, and Knowledge",Applied / Interdisciplinary AI,1033
2006,"Logic, programming, and type systems",Applied / Interdisciplinary AI,1547
2006,Machine Learning and Algorithms,Core ML / Deep Learning,497
2006,Machine Learning and Data Classification,Core ML / Deep Learning,222
2006,Machine Learning and ELM,Core ML / Deep Learning,48
2006,Machine Learning in Healthcare,Core ML / Deep Learning,46
2006,Mathematical Control Systems and Analysis,Robotics,108
2006,Metaheuristic Optimization Algorithms Research,ML Theory & Optimization,1086
2006,Multi-Agent Systems and Negotiation,Reinforcement Learning,1376
2006,Natural Language Processing Techniques,NLP,2841
2006,Neural Networks and Applications,Core ML / Deep Learning,3564
2006,Neural Networks and Reservoir Computing,Core ML / Deep Learning,94
2006,Organizational and Employee Performance,Applied / Interdisciplinary AI,27
2006,Privacy-Preserving Technologies in Data,AI Ethics & Fairness,271
2006,"Psychiatry, Mental Health, Neuroscience",Healthcare AI,96
2006,Quantum Computing Algorithms and Architecture,ML Theory & Optimization,970
2006,Quantum Information and Cryptography,ML Theory & Optimization,2346
2006,Reinforcement Learning in Robotics,Robotics,380
2006,Security and Verification in Computing,Applied / Interdisciplinary AI,459
2006,Seismology and Earthquake Studies,Applied / Interdisciplinary AI,293
2006,Semantic Web and Ontologies,NLP,2835
2006,Sentiment Analysis and Opinion Mining,NLP,66
2006,Solar Radiation and Photovoltaics,Applied / Interdisciplinary AI,183
2006,Speech Recognition and Synthesis,NLP,1308
2006,Speech and dialogue systems,NLP,902
2006,Statistical and Computational Modeling,Applied / Interdisciplinary AI,120
2006,Stochastic Gradient Optimization Techniques,ML Theory & Optimization,24
2006,Target Tracking and Data Fusion in Sensor Networks,Robotics,1216
2006,Text Readability and Simplification,NLP,53
2006,Text and Document Classification Technologies,NLP,451
2006,Topic Modeling,NLP,479
2006,Wireless Signal Modulation Classification,Core ML / Deep Learning,101
2007,AI and Multimedia in Education,Applied / Interdisciplinary AI,1
2007,AI in Service Interactions,Applied / Interdisciplinary AI,46
2007,AI in cancer detection,Healthcare AI,476
2007,AI-based Problem Solving and Planning,Robotics,627
2007,Advanced Clustering Algorithms Research,Core ML / Deep Learning,518
2007,Advanced Computational Techniques and Applications,Applied / Interdisciplinary AI,897
2007,Advanced Graph Neural Networks,Core ML / Deep Learning,20
2007,Advanced Software Engineering Methodologies,Applied / Interdisciplinary AI,1566
2007,Advanced Technologies in Various Fields,Applied / Interdisciplinary AI,1
2007,Advanced Text Analysis Techniques,NLP,434
2007,Adversarial Robustness in Machine Learning,Core ML / Deep Learning,17
2007,Algorithms and Data Compression,ML Theory & Optimization,1204
2007,Anomaly Detection Techniques and Applications,Applied / Interdisciplinary AI,336
2007,Artificial Intelligence Applications,Applied / Interdisciplinary AI,42
2007,Artificial Intelligence in Games,Applied / Interdisciplinary AI,455
2007,Authorship Attribution and Profiling,Applied / Interdisciplinary AI,132
2007,Bayesian Methods and Mixture Models,ML Theory & Optimization,713
2007,Bayesian Modeling and Causal Inference,ML Theory & Optimization,784
2007,Coding theory and cryptography,ML Theory & Optimization,1185
2007,Cognitive Computing and Networks,Applied / Interdisciplinary AI,156
2007,Cognitive Science and Mapping,Applied / Interdisciplinary AI,386
2007,Computational Physics and Python Applications,Applied / Interdisciplinary AI,436
2007,Computer Science and Engineering,Applied / Interdisciplinary AI,51
2007,Cryptographic Implementations and Security,Applied / Interdisciplinary AI,647
2007,Cryptography and Data Security,Applied / Interdisciplinary AI,1462
2007,Data Analysis with R,Applied / Interdisciplinary AI,195
2007,Data Stream Mining Techniques,Applied / Interdisciplinary AI,197
2007,Diverse Interdisciplinary Research Studies,Applied / Interdisciplinary AI,16
2007,Domain Adaptation and Few-Shot Learning,Applied / Interdisciplinary AI,45
2007,Edcuational Technology Systems,Applied / Interdisciplinary AI,37
2007,Educational Robotics and Engineering,Robotics,1991
2007,Educational Technology and Pedagogy,Applied / Interdisciplinary AI,26
2007,Evolutionary Algorithms and Applications,ML Theory & Optimization,1215
2007,Experience-Based Knowledge Management,Applied / Interdisciplinary AI,9
2007,Explainable Artificial Intelligence (XAI),AI Ethics & Fairness,15
2007,Fuzzy Logic and Control Systems,Robotics,1207
2007,Gaussian Processes and Bayesian Inference,ML Theory & Optimization,121
2007,Geochemistry and Geologic Mapping,Applied / Interdisciplinary AI,1190
2007,Hate Speech and Cyberbullying Detection,NLP,96
2007,Imbalanced Data Classification Techniques,Core ML / Deep Learning,193
2007,Intelligent Tutoring Systems and Adaptive Learning,Applied / Interdisciplinary AI,409
2007,Internet Traffic Analysis and Secure E-voting,Applied / Interdisciplinary AI,514
2007,Intuitionistic Fuzzy Systems Applications,Applied / Interdisciplinary AI,23
2007,"Law, AI, and Intellectual Property",AI Ethics & Fairness,139
2007,Linguistic Studies and Language Acquisition,NLP,743
2007,"Logic, Reasoning, and Knowledge",Applied / Interdisciplinary AI,1081
2007,"Logic, programming, and type systems",Applied / Interdisciplinary AI,1552
2007,Machine Learning and Algorithms,Core ML / Deep Learning,441
2007,Machine Learning and Data Classification,Core ML / Deep Learning,192
2007,Machine Learning and ELM,Core ML / Deep Learning,42
2007,Machine Learning in Healthcare,Core ML / Deep Learning,59
2007,Mathematical Control Systems and Analysis,Robotics,114
2007,Metaheuristic Optimization Algorithms Research,ML Theory & Optimization,1103
2007,Multi-Agent Systems and Negotiation,Reinforcement Learning,1227
2007,Natural Language Processing Techniques,NLP,2516
2007,Neural Networks and Applications,Core ML / Deep Learning,2751
2007,Neural Networks and Reservoir Computing,Core ML / Deep Learning,99
2007,Organizational and Employee Performance,Applied / Interdisciplinary AI,30
2007,Privacy-Preserving Technologies in Data,AI Ethics & Fairness,328
2007,"Psychiatry, Mental Health, Neuroscience",Healthcare AI,125
2007,Quantum Computing Algorithms and Architecture,ML Theory & Optimization,986
2007,Quantum Information and Cryptography,ML Theory & Optimization,2627
2007,Reinforcement Learning in Robotics,Robotics,402
2007,Security and Verification in Computing,Applied / Interdisciplinary AI,526
2007,Seismology and Earthquake Studies,Applied / Interdisciplinary AI,296
2007,Semantic Web and Ontologies,NLP,3048
2007,Sentiment Analysis and Opinion Mining,NLP,94
2007,Solar Radiation and Photovoltaics,Applied / Interdisciplinary AI,220
2007,Speech Recognition and Synthesis,NLP,1187
2007,Speech and dialogue systems,NLP,902
2007,Statistical and Computational Modeling,Applied / Interdisciplinary AI,149
2007,Stochastic Gradient Optimization Techniques,ML Theory & Optimization,27
2007,Target Tracking and Data Fusion in Sensor Networks,Robotics,1062
2007,Text Readability and Simplification,NLP,66
2007,Text and Document Classification Technologies,NLP,436
2007,Topic Modeling,NLP,483
2007,Wireless Signal Modulation Classification,Core ML / Deep Learning,88
2008,AI and Multimedia in Education,Applied / Interdisciplinary AI,4
2008,AI in Service Interactions,Applied / Interdisciplinary AI,48
2008,AI in cancer detection,Healthcare AI,556
2008,AI-based Problem Solving and Planning,Robotics,538
2008,Advanced Clustering Algorithms Research,Core ML / Deep Learning,578
2008,Advanced Computational Techniques and Applications,Applied / Interdisciplinary AI,1154
2008,Advanced Graph Neural Networks,Core ML / Deep Learning,17
2008,Advanced Software Engineering Methodologies,Applied / Interdisciplinary AI,1620
2008,Advanced Technologies in Various Fields,Applied / Interdisciplinary AI,5
2008,Advanced Text Analysis Techniques,NLP,472
2008,Adversarial Robustness in Machine Learning,Core ML / Deep Learning,15
2008,Algorithms and Data Compression,ML Theory & Optimization,1211
2008,Anomaly Detection Techniques and Applications,Applied / Interdisciplinary AI,424
2008,Artificial Intelligence Applications,Applied / Interdisciplinary AI,48
2008,Artificial Intelligence in Games,Applied / Interdisciplinary AI,467
2008,Authorship Attribution and Profiling,Applied / Interdisciplinary AI,119
2008,Bayesian Methods and Mixture Models,ML Theory & Optimization,795
2008,Bayesian Modeling and Causal Inference,ML Theory & Optimization,755
2008,Coding theory and cryptography,ML Theory & Optimization,1129
2008,Cognitive Computing and Networks,Applied / Interdisciplinary AI,186
2008,Cognitive Science and Mapping,Applied / Interdisciplinary AI,415
2008,Computational Physics and Python Applications,Applied / Interdisciplinary AI,416
2008,Computer Science and Engineering,Applied / Interdisciplinary AI,58
2008,Cryptographic Implementations and Security,Applied / Interdisciplinary AI,649
2008,Cryptography and Data Security,Applied / Interdisciplinary AI,1316
2008,Data Analysis with R,Applied / Interdisciplinary AI,262
2008,Data Stream Mining Techniques,Applied / Interdisciplinary AI,212
2008,Diverse Interdisciplinary Research Studies,Applied / Interdisciplinary AI,30
2008,Domain Adaptation and Few-Shot Learning,Applied / Interdisciplinary AI,40
2008,Edcuational Technology Systems,Applied / Interdisciplinary AI,70
2008,Educational Robotics and Engineering,Robotics,1877
2008,Educational Technology and Pedagogy,Applied / Interdisciplinary AI,25
2008,Evolutionary Algorithms and Applications,ML Theory & Optimization,1146
2008,Experience-Based Knowledge Management,Applied / Interdisciplinary AI,12
2008,Explainable Artificial Intelligence (XAI),AI Ethics & Fairness,14
2008,Fuzzy Logic and Control Systems,Robotics,1120
2008,Gaussian Processes and Bayesian Inference,ML Theory & Optimization,141
2008,Geochemistry and Geologic Mapping,Applied / Interdisciplinary AI,1150
2008,Hate Speech and Cyberbullying Detection,NLP,107
2008,Imbalanced Data Classification Techniques,Core ML / Deep Learning,239
2008,Intelligent Tutoring Systems and Adaptive Learning,Applied / Interdisciplinary AI,471
2008,Internet Traffic Analysis and Secure E-voting,Applied / Interdisciplinary AI,575
2008,Intuitionistic Fuzzy Systems Applications,Applied / Interdisciplinary AI,28
2008,"Law, AI, and Intellectual Property",AI Ethics & Fairness,159
2008,Linguistic Studies and Language Acquisition,NLP,858
2008,"Logic, Reasoning, and Knowledge",Applied / Interdisciplinary AI,1168
2008,"Logic, programming, and type systems",Applied / Interdisciplinary AI,1417
2008,Machine Learning and Algorithms,Core ML / Deep Learning,467
2008,Machine Learning and Data Classification,Core ML / Deep Learning,221
2008,Machine Learning and ELM,Core ML / Deep Learning,64
2008,Machine Learning in Healthcare,Core ML / Deep Learning,51
2008,Mathematical Control Systems and Analysis,Robotics,104
2008,Metaheuristic Optimization Algorithms Research,ML Theory & Optimization,1319
2008,Multi-Agent Systems and Negotiation,Reinforcement Learning,1228
2008,Natural Language Processing Techniques,NLP,3010
2008,Neural Networks and Applications,Core ML / Deep Learning,2890
2008,Neural Networks and Reservoir Computing,Core ML / Deep Learning,112
2008,Organizational and Employee Performance,Applied / Interdisciplinary AI,39
2008,Privacy-Preserving Technologies in Data,AI Ethics & Fairness,453
2008,"Psychiatry, Mental Health, Neuroscience",Healthcare AI,147
2008,Quantum Computing Algorithms and Architecture,ML Theory & Optimization,1035
2008,Quantum Information and Cryptography,ML Theory & Optimization,2668
2008,Reinforcement Learning in Robotics,Robotics,435
2008,Security and Verification in Computing,Applied / Interdisciplinary AI,546
2008,Seismology and Earthquake Studies,Applied / Interdisciplinary AI,325
2008,Semantic Web and Ontologies,NLP,3502
2008,Sentiment Analysis and Opinion Mining,NLP,164
2008,Solar Radiation and Photovoltaics,Applied / Interdisciplinary AI,331
2008,Speech Recognition and Synthesis,NLP,1284
2008,Speech and dialogue systems,NLP,817
2008,Statistical and Computational Modeling,Applied / Interdisciplinary AI,154
2008,Stochastic Gradient Optimization Techniques,ML Theory & Optimization,17
2008,Target Tracking and Data Fusion in Sensor Networks,Robotics,1118
2008,Text Readability and Simplification,NLP,89
2008,Text and Document Classification Technologies,NLP,513
2008,Topic Modeling,NLP,573
2008,Wireless Signal Modulation Classification,Core ML / Deep Learning,84
2009,AI and Multimedia in Education,Applied / Interdisciplinary AI,1
2009,AI in Service Interactions,Applied / Interdisciplinary AI,58
2009,AI in cancer detection,Healthcare AI,540
2009,AI-based Problem Solving and Planning,Robotics,576
2009,Advanced Clustering Algorithms Research,Core ML / Deep Learning,658
2009,Advanced Computational Techniques and Applications,Applied / Interdisciplinary AI,1731
2009,Advanced Graph Neural Networks,Core ML / Deep Learning,33
2009,Advanced Software Engineering Methodologies,Applied / Interdisciplinary AI,1549
2009,Advanced Technologies in Various Fields,Applied / Interdisciplinary AI,11
2009,Advanced Text Analysis Techniques,NLP,644
2009,Adversarial Robustness in Machine Learning,Core ML / Deep Learning,13
2009,Algorithms and Data Compression,ML Theory & Optimization,1346
2009,Anomaly Detection Techniques and Applications,Applied / Interdisciplinary AI,506
2009,Artificial Intelligence Applications,Applied / Interdisciplinary AI,55
2009,Artificial Intelligence in Games,Applied / Interdisciplinary AI,552
2009,Authorship Attribution and Profiling,Applied / Interdisciplinary AI,129
2009,Bayesian Methods and Mixture Models,ML Theory & Optimization,821
2009,Bayesian Modeling and Causal Inference,ML Theory & Optimization,820
2009,Coding theory and cryptography,ML Theory & Optimization,1171
2009,Cognitive Computing and Networks,Applied / Interdisciplinary AI,249
2009,Cognitive Science and Mapping,Applied / Interdisciplinary AI,494
2009,Computational Physics and Python Applications,Applied / Interdisciplinary AI,519
2009,Computer Science and Engineering,Applied / Interdisciplinary AI,77
2009,Cryptographic Implementations and Security,Applied / Interdisciplinary AI,746
2009,Cryptography and Data Security,Applied / Interdisciplinary AI,1501
2009,Data Analysis with R,Applied / Interdisciplinary AI,274
2009,Data Stream Mining Techniques,Applied / Interdisciplinary AI,244
2009,Diverse Interdisciplinary Research Studies,Applied / Interdisciplinary AI,22
2009,Domain Adaptation and Few-Shot Learning,Applied / Interdisciplinary AI,85
2009,Edcuational Technology Systems,Applied / Interdisciplinary AI,82
2009,Educational Robotics and Engineering,Robotics,1935
2009,Educational Technology and Pedagogy,Applied / Interdisciplinary AI,42
2009,Evolutionary Algorithms and Applications,ML Theory & Optimization,1098
2009,Experience-Based Knowledge Management,Applied / Interdisciplinary AI,14
2009,Explainable Artificial Intelligence (XAI),AI Ethics & Fairness,18
2009,Fuzzy Logic and Control Systems,Robotics,1066
2009,Gaussian Processes and Bayesian Inference,ML Theory & Optimization,172
2009,Geochemistry and Geologic Mapping,Applied / Interdisciplinary AI,1370
2009,Hate Speech and Cyberbullying Detection,NLP,122
2009,Imbalanced Data Classification Techniques,Core ML / Deep Learning,250
2009,Intelligent Tutoring Systems and Adaptive Learning,Applied / Interdisciplinary AI,494
2009,Internet Traffic Analysis and Secure E-voting,Applied / Interdisciplinary AI,692
2009,Intuitionistic Fuzzy Systems Applications,Applied / Interdisciplinary AI,35
2009,"Law, AI, and Intellectual Property",AI Ethics & Fairness,152
2009,Linguistic Studies and Language Acquisition,NLP,944
2009,"Logic, Reasoning, and Knowledge",Applied / Interdisciplinary AI,1140
2009,"Logic, programming, and type systems",Applied / Interdisciplinary AI,1549
2009,Machine Learning and Algorithms,Core ML / Deep Learning,500
2009,Machine Learning and Data Classification,Core ML / Deep Learning,243
2009,Machine Learning and ELM,Core ML / Deep Learning,74
2009,Machine Learning in Healthcare,Core ML / Deep Learning,78
2009,Mathematical Control Systems and Analysis,Robotics,102
2009,Metaheuristic Optimization Algorithms Research,ML Theory & Optimization,1657
2009,Multi-Agent Systems and Negotiation,Reinforcement Learning,1267
2009,Natural Language Processing Techniques,NLP,3334
2009,Neural Networks and Applications,Core ML / Deep Learning,3075
2009,Neural Networks and Reservoir Computing,Core ML / Deep Learning,134
2009,Organizational and Employee Performance,Applied / Interdisciplinary AI,34
2009,Privacy-Preserving Technologies in Data,AI Ethics & Fairness,591
2009,"Psychiatry, Mental Health, Neuroscience",Healthcare AI,151
2009,Quantum Computing Algorithms and Architecture,ML Theory & Optimization,984
2009,Quantum Information and Cryptography,ML Theory & Optimization,2750
2009,Reinforcement Learning in Robotics,Robotics,449
2009,Security and Verification in Computing,Applied / Interdisciplinary AI,624
2009,Seismology and Earthquake Studies,Applied / Interdisciplinary AI,358
2009,Semantic Web and Ontologies,NLP,3511
2009,Sentiment Analysis and Opinion Mining,NLP,281
2009,Solar Radiation and Photovoltaics,Applied / Interdisciplinary AI,297
2009,Speech Recognition and Synthesis,NLP,1359
2009,Speech and dialogue systems,NLP,889
2009,Statistical and Computational Modeling,Applied / Interdisciplinary AI,193
2009,Stochastic Gradient Optimization Techniques,ML Theory & Optimization,32
2009,Target Tracking and Data Fusion in Sensor Networks,Robotics,1138
2009,Text Readability and Simplification,NLP,94
2009,Text and Document Classification Technologies,NLP,560
2009,Topic Modeling,NLP,725
2009,Wireless Signal Modulation Classification,Core ML / Deep Learning,116
2010,AI and Multimedia in Education,Applied / Interdisciplinary AI,7
2010,AI in Service Interactions,Applied / Interdisciplinary AI,76
2010,AI in cancer detection,Healthcare AI,673
2010,AI-based Problem Solving and Planning,Robotics,622
2010,Advanced Clustering Algorithms Research,Core ML / Deep Learning,709
2010,Advanced Computational Techniques and Applications,Applied / Interdisciplinary AI,2136
2010,Advanced Graph Neural Networks,Core ML / Deep Learning,35
2010,Advanced Software Engineering Methodologies,Applied / Interdisciplinary AI,1606
2010,Advanced Technologies in Various Fields,Applied / Interdisciplinary AI,15
2010,Advanced Text Analysis Techniques,NLP,579
2010,Adversarial Robustness in Machine Learning,Core ML / Deep Learning,23
2010,Algorithms and Data Compression,ML Theory & Optimization,1291
2010,Anomaly Detection Techniques and Applications,Applied / Interdisciplinary AI,568
2010,Artificial Intelligence Applications,Applied / Interdisciplinary AI,62
2010,Artificial Intelligence in Games,Applied / Interdisciplinary AI,662
2010,Authorship Attribution and Profiling,Applied / Interdisciplinary AI,153
2010,Bayesian Methods and Mixture Models,ML Theory & Optimization,854
2010,Bayesian Modeling and Causal Inference,ML Theory & Optimization,948
2010,Coding theory and cryptography,ML Theory & Optimization,1199
2010,Cognitive Computing and Networks,Applied / Interdisciplinary AI,250
2010,Cognitive Science and Mapping,Applied / Interdisciplinary AI,533
2010,Computational Physics and Python Applications,Applied / Interdisciplinary AI,505
2010,Computer Science and Engineering,Applied / Interdisciplinary AI,110
2010,Cryptographic Implementations and Security,Applied / Interdisciplinary AI,827
2010,Cryptography and Data Security,Applied / Interdisciplinary AI,1627
2010,Data Analysis with R,Applied / Interdisciplinary AI,307
2010,Data Stream Mining Techniques,Applied / Interdisciplinary AI,278
2010,Diverse Interdisciplinary Research Studies,Applied / Interdisciplinary AI,25
2010,Domain Adaptation and Few-Shot Learning,Applied / Interdisciplinary AI,73
2010,Edcuational Technology Systems,Applied / Interdisciplinary AI,120
2010,Educational Robotics and Engineering,Robotics,2072
2010,Educational Technology and Pedagogy,Applied / Interdisciplinary AI,70
2010,Evolutionary Algorithms and Applications,ML Theory & Optimization,1135
2010,Experience-Based Knowledge Management,Applied / Interdisciplinary AI,31
2010,Explainable Artificial Intelligence (XAI),AI Ethics & Fairness,18
2010,Fuzzy Logic and Control Systems,Robotics,1213
2010,Gaussian Processes and Bayesian Inference,ML Theory & Optimization,201
2010,Geochemistry and Geologic Mapping,Applied / Interdisciplinary AI,1486
2010,Hate Speech and Cyberbullying Detection,NLP,149
2010,Imbalanced Data Classification Techniques,Core ML / Deep Learning,304
2010,Intelligent Tutoring Systems and Adaptive Learning,Applied / Interdisciplinary AI,612
2010,Internet Traffic Analysis and Secure E-voting,Applied / Interdisciplinary AI,767
2010,Intuitionistic Fuzzy Systems Applications,Applied / Interdisciplinary AI,50
2010,"Law, AI, and Intellectual Property",AI Ethics & Fairness,149
2010,Linguistic Studies and Language Acquisition,NLP,899
2010,"Logic, Reasoning, and Knowledge",Applied / Interdisciplinary AI,1200
2010,"Logic, programming, and type systems",Applied / Interdisciplinary AI,1561
2010,Machine Learning and Algorithms,Core ML / Deep Learning,521
2010,Machine Learning and Data Classification,Core ML / Deep Learning,263
2010,Machine Learning and ELM,Core ML / Deep Learning,83
2010,Machine Learning in Healthcare,Core ML / Deep Learning,70
2010,Mathematical Control Systems and Analysis,Robotics,135
2010,Metaheuristic Optimization Algorithms Research,ML Theory & Optimization,1902
2010,Multi-Agent Systems and Negotiation,Reinforcement Learning,1162
2010,Natural Language Processing Techniques,NLP,2971
2010,Neural Networks and Applications,Core ML / Deep Learning,2935
2010,Neural Networks and Reservoir Computing,Core ML / Deep Learning,154
2010,Organizational and Employee Performance,Applied / Interdisciplinary AI,58
2010,Privacy-Preserving Technologies in Data,AI Ethics & Fairness,767
2010,"Psychiatry, Mental Health, Neuroscience",Healthcare AI,159
2010,Quantum Computing Algorithms and Architecture,ML Theory & Optimization,1006
2010,Quantum Information and Cryptography,ML Theory & Optimization,2791
2010,Reinforcement Learning in Robotics,Robotics,452
2010,Security and Verification in Computing,Applied / Interdisciplinary AI,701
2010,Seismology and Earthquake Studies,Applied / Interdisciplinary AI,374
2010,Semantic Web and Ontologies,NLP,3537
2010,Sentiment Analysis and Opinion Mining,NLP,348
2010,Solar Radiation and Photovoltaics,Applied / Interdisciplinary AI,436
2010,Speech Recognition and Synthesis,NLP,1376
2010,Speech and dialogue systems,NLP,863
2010,Statistical and Computational Modeling,Applied / Interdisciplinary AI,180
2010,Stochastic Gradient Optimization Techniques,ML Theory & Optimization,53
2010,Target Tracking and Data Fusion in Sensor Networks,Robotics,1383
2010,Text Readability and Simplification,NLP,89
2010,Text and Document Classification Technologies,NLP,605
2010,Topic Modeling,NLP,650
2010,Wireless Signal Modulation Classification,Core ML / Deep Learning,151
2011,AI and Multimedia in Education,Applied / Interdisciplinary AI,8
2011,AI in Service Interactions,Applied / Interdisciplinary AI,68
2011,AI in cancer detection,Healthcare AI,675
2011,AI-based Problem Solving and Planning,Robotics,633
2011,Advanced Clustering Algorithms Research,Core ML / Deep Learning,702
2011,Advanced Computational Techniques and Applications,Applied / Interdisciplinary AI,2099
2011,Advanced Graph Neural Networks,Core ML / Deep Learning,45
2011,Advanced Software Engineering Methodologies,Applied / Interdisciplinary AI,1617
2011,Advanced Technologies in Various Fields,Applied / Interdisciplinary AI,20
2011,Advanced Text Analysis Techniques,NLP,660
2011,Adversarial Robustness in Machine Learning,Core ML / Deep Learning,30
2011,Algorithms and Data Compression,ML Theory & Optimization,1337
2011,Anomaly Detection Techniques and Applications,Applied / Interdisciplinary AI,706
2011,Artificial Intelligence Applications,Applied / Interdisciplinary AI,91
2011,Artificial Intelligence in Games,Applied / Interdisciplinary AI,697
2011,Authorship Attribution and Profiling,Applied / Interdisciplinary AI,167
2011,Bayesian Methods and Mixture Models,ML Theory & Optimization,917
2011,Bayesian Modeling and Causal Inference,ML Theory & Optimization,935
2011,Coding theory and cryptography,ML Theory & Optimization,1366
2011,Cognitive Computing and Networks,Applied / Interdisciplinary AI,287
2011,Cognitive Science and Mapping,Applied / Interdisciplinary AI,597
2011,Computational Physics and Python Applications,Applied / Interdisciplinary AI,546
2011,Computer Science and Engineering,Applied / Interdisciplinary AI,125
2011,Cryptographic Implementations and Security,Applied / Interdisciplinary AI,946
2011,Cryptography and Data Security,Applied / Interdisciplinary AI,1840
2011,Data Analysis with R,Applied / Interdisciplinary AI,278
2011,Data Stream Mining Techniques,Applied / Interdisciplinary AI,336
2011,Diverse Interdisciplinary Research Studies,Applied / Interdisciplinary AI,29
2011,Domain Adaptation and Few-Shot Learning,Applied / Interdisciplinary AI,122
2011,Edcuational Technology Systems,Applied / Interdisciplinary AI,158
2011,Educational Robotics and Engineering,Robotics,2045
2011,Educational Technology and Pedagogy,Applied / Interdisciplinary AI,171
2011,Evolutionary Algorithms and Applications,ML Theory & Optimization,1089
2011,Experience-Based Knowledge Management,Applied / Interdisciplinary AI,30
2011,Explainable Artificial Intelligence (XAI),AI Ethics & Fairness,22
2011,Fuzzy Logic and Control Systems,Robotics,1212
2011,Gaussian Processes and Bayesian Inference,ML Theory & Optimization,206
2011,Geochemistry and Geologic Mapping,Applied / Interdisciplinary AI,1449
2011,Hate Speech and Cyberbullying Detection,NLP,148
2011,Imbalanced Data Classification Techniques,Core ML / Deep Learning,355
2011,Intelligent Tutoring Systems and Adaptive Learning,Applied / Interdisciplinary AI,627
2011,Internet Traffic Analysis and Secure E-voting,Applied / Interdisciplinary AI,763
2011,Intuitionistic Fuzzy Systems Applications,Applied / Interdisciplinary AI,45
2011,"Law, AI, and Intellectual Property",AI Ethics & Fairness,184
2011,Linguistic Studies and Language Acquisition,NLP,937
2011,"Logic, Reasoning, and Knowledge",Applied / Interdisciplinary AI,1322
2011,"Logic, programming, and type systems",Applied / Interdisciplinary AI,1414
