year,institution_type,paper_institution_rows,unique_papers,unique_institutions,median_fwci,mean_fwci,median_citation_velocity,mean_citation_velocity
2015,Business,2096,1866,274,1.3353,6.266425309198473,0.9166666666666666,6.471890903307888
2015,Government,1453,1349,256,0.8904,3.00317599833448,0.5,1.9522826336315668
2015,Healthcare,975,846,546,0.4453,2.9488003789128205,0.3333333333333333,2.1198290598290597
2015,Nonprofit,2096,1961,540,1.3349,3.7431460810591606,0.6666666666666666,2.44147582697201
2015,Other,19281,13346,4198,0.8906,3.406248941264457,0.5,2.474958076171706
2015,University,65518,44392,5372,0.8902,3.164115009182057,0.5,2.2282807778015203
2016,Business,2167,1991,272,1.2854,10.184457785643747,0.8181818181818182,8.122834249276336
2016,Government,1671,1565,284,1.0159,3.8974293452184323,0.5454545454545454,2.6186279310157228
2016,Healthcare,1103,967,608,0.8834,4.229609537352674,0.5454545454545454,3.178933487183714
2016,Nonprofit,2200,2099,555,0.9275,3.4987312787272726,0.5454545454545454,2.213677685950413
2016,Other,20142,14104,4506,0.9627,3.422651240882236,0.5454545454545454,2.198666738881216
2016,University,70487,47650,5588,0.8868,3.5584830751501695,0.5454545454545454,2.4439077740963193
2017,Business,2511,2300,276,0.8369,6.062531755412186,1.1,9.060732775786539
2017,Government,1829,1721,283,0.5851,2.3854390003663206,0.6,3.118480043739748
2017,Healthcare,1303,1107,712,0.4154,3.2048397516346894,0.5,4.804604758250192
2017,Nonprofit,2250,2105,596,0.6229,2.354629215688889,0.7,3.2987111111111114
2017,Other,22220,15479,4719,0.6224,2.3768219401962196,0.6,3.0742169216921695
2017,University,79112,52727,5978,0.577225915,2.132546552560294,0.6,2.7866455152189302
2018,Business,3627,3347,297,0.6767,4.782562342919769,1.2222222222222223,7.984070091596974
2018,Government,2037,1902,335,0.5077,2.0811292766568483,0.6666666666666666,3.3962799323624067
2018,Healthcare,1654,1403,833,0.5073,2.465208924510278,0.6666666666666666,4.107282009942227
2018,Nonprofit,2619,2445,665,0.5075,2.515326254348988,0.6666666666666666,4.33545458402274
2018,Other,25874,17905,5312,0.5077,2.2859738896823063,0.6666666666666666,3.8142322193879745
2018,University,94297,62706,6420,0.5075,2.084617132011411,0.6666666666666666,3.284102357445094
2019,Business,5493,5025,356,0.4353,3.5553941903003827,1.25,6.655834698707446
2019,Government,2535,2383,369,0.4335,2.013012713443787,0.625,3.3653846153846154
2019,Healthcare,2153,1809,991,0.578,2.6624901059033905,0.875,4.547085462145843
2019,Nonprofit,3090,2885,770,0.4329,2.2338870598122975,0.625,3.785113268608414
2019,Other,30883,21372,5985,0.4335,1.832815816992844,0.625,3.1544539066800503
2019,University,110597,72804,6774,0.4336,1.8478821788360444,0.625,3.1747221895711455
2020,Business,6829,6189,399,0.408,4.498212605372675,1.1428571428571428,9.55638767441374
2020,Government,2783,2641,399,0.408,3.2068266150269493,0.7142857142857143,6.320055438632514
2020,Healthcare,2744,2195,1087,0.5495,3.7411049795517495,1.0,7.2599437734277386
2020,Nonprofit,3660,3420,853,0.408,2.7848573735409836,0.7142857142857143,5.39839968774395
2020,Other,34950,24022,6386,0.408,2.538290654271817,0.7142857142857143,4.768285305538524
2020,University,128629,83032,7169,0.408,2.23481286443407,0.7142857142857143,4.167828183602232
2021,Business,7870,7023,432,0.5075,2.6236217577954255,1.0,4.538860652265989
2021,Government,3559,3210,412,0.4197,1.9968119391514472,0.6666666666666666,3.3192844431956545
2021,Healthcare,3220,2512,1256,0.5616000000000001,2.4916342597080745,1.0,4.281262939958592
2021,Nonprofit,4352,4070,889,0.4197,1.9913513378400736,0.6666666666666666,3.365234375
2021,Other,40310,27834,6965,0.4197,1.7600061007772265,0.6666666666666666,2.848821632349293
2021,University,147825,94390,7544,0.4197,1.8420067831673261,0.6666666666666666,3.010029877670669
2022,Business,6355,5737,445,0.831,2.8204886997199057,1.4,4.576302124311566
2022,Government,3860,3546,469,0.4166,1.7555604065595856,0.8,2.771139896373057
2022,Healthcare,3955,2999,1428,0.6936,2.246024627054361,1.2,3.508369152970923
2022,Nonprofit,4480,4241,963,0.5208999999999999,1.884145174357143,0.8,2.8583035714285714
2022,Other,41604,28639,7321,0.4162,1.68947255307182,0.6,2.6035958080953754
2022,University,156340,97044,7891,0.5305,1.8272213796407828,0.8,2.8338800051170523
2023,Business,7466,6658,489,0.6816,2.535036504568711,1.0,3.7172515403160995
2023,Government,4451,4061,479,0.5055,1.5348904291170524,0.75,2.2411255897551112
2023,Healthcare,4674,3566,1585,0.6627,2.5549626016260163,1.0,3.788778348309799
2023,Nonprofit,5246,4963,1052,0.5055,3.5852227438886772,0.75,6.3223408311094165
2023,Other,49601,33983,8053,0.4953,1.824146232104393,0.5,2.7184935787584927
2023,University,186545,115404,8202,0.5063,1.9508194110336916,0.75,2.8753718941810287
2024,Business,6278,5599,520,0.802,3.6177361420834657,0.6666666666666666,5.337368588722523
2024,Government,4346,3999,510,0.6294,1.8637111958352508,0.6666666666666666,1.91471084522166
2024,Healthcare,5886,4340,1858,0.6623,3.5349976214746857,0.6666666666666666,3.7923887189942236
2024,Nonprofit,5539,5225,1164,0.6294,1.9946719805018958,0.6666666666666666,2.0992959017873263
2024,Other,52197,36080,9163,0.6224,2.0262840664061152,0.3333333333333333,2.2145908768703184
2024,University,204451,123935,8696,0.6294,2.1529940094939617,0.6666666666666666,2.2355250565335134
2025,Business,8005,7141,638,0.0,5.120259712679576,0.0,3.568894440974391
2025,Government,5293,4913,626,0.0,3.373888815416588,0.0,0.8612318156055168
2025,Healthcare,8597,6349,2346,0.0,4.693732162382226,0.0,1.2299057810864256
2025,Nonprofit,6701,6320,1465,0.0,3.3873744068049545,0.0,0.8832263841217729
2025,Other,64915,45751,11106,0.0,3.141512087270277,0.0,0.9018177616883617
2025,University,243838,144982,9427,0.0,3.464954356541228,0.0,0.9461691778968003
